Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
CD244	Day:srf14	10.277065905109465	5.1385329525547325	2	1053.2249094487856	13.805465448438547	1.206716107138468e-6	1.778803017790816e-5
IL7	Day	2.2404504642811305	1.1202252321405652	2	1066.3156240866845	2.1880070668470846	0.11264323458290788	0.12172736640411012
IL7	srf14	0.10199284503309483	0.10199284503309483	1	591.7647471193616	0.1992108901830636	0.655521821811603	0.6756917240211907
IL7	DEXcorrected	0.039402064579043564	0.039402064579043564	1	578.2336477477506	0.07695951963390044	0.7815600105867899	0.8056080109125372
IL7	cbmi	0.38622061945328184	0.38622061945328184	1	575.6262014563018	0.7543603022680375	0.38546120327994937	0.5614326221686219
IL7	Age	10.12331580434873	10.12331580434873	1	577.6726140781611	19.772708098633903	1.0462454521258573e-5	4.123437958378379e-5
IL7	Gender	0.7979108120511684	0.7979108120511684	1	580.7665248433726	1.558467391549154	0.21239279034151665	0.30277270112514076
IL7	Day:srf14	3.207151089127818	1.603575544563909	2	1066.3189317107715	3.1320796238668667	0.04402860714228429	0.1255862774344182
OPG	Day	49.96170624187993	24.980853120939965	2	1057.8676454541703	67.67637045287401	2.199908949290823e-28	6.621169037434599e-28
OPG	srf14	16.62424434636541	16.62424434636541	1	584.3775197582685	45.03723365398773	4.57926102369099e-11	4.383006979818519e-10
OPG	DEXcorrected	4.522617981115091	4.522617981115091	1	571.1411552515932	12.252358573383152	5.009306246132238e-4	0.001598207230908857
OPG	cbmi	0.1209007305765066	0.1209007305765066	1	568.6156430167733	0.32753575672162233	0.5673399361404832	0.7602355144282474
OPG	Age	74.40977014556387	74.40977014556387	1	570.6396937220314	201.58571628056959	2.1240581162421234e-39	1.4231189378822227e-37
OPG	Gender	1.9467292765391664	1.9467292765391664	1	573.6676968533136	5.2739420488439555	0.02200642767977085	0.052658237662308816
OPG	Day:srf14	2.400047605074195	1.2000238025370975	2	1057.8712345963138	3.251020092051656	0.039122016079699756	0.12481786082570875
LAP TGF-beta-1	Day	9.911592678658351	4.955796339329176	2	1060.335592104711	9.159271745373012	1.1380173939243357e-4	1.4386257621307638e-4
LAP TGF-beta-1	srf14	0.7293183728401604	0.7293183728401604	1	582.5352127973416	1.3479216473694964	0.24611731434382814	0.30536777890808303
LAP TGF-beta-1	DEXcorrected	1.5944541015259126	1.5944541015259126	1	568.6816533806708	2.9468600808921113	0.08658912012654156	0.13813026305900677
LAP TGF-beta-1	cbmi	6.562085683199692e-4	6.562085683199692e-4	1	565.9603704253675	0.0012128005647016452	0.9722313361094694	0.9869621139293099
LAP TGF-beta-1	Age	0.7998455284645951	0.7998455284645951	1	568.007012406229	1.4782694945289803	0.22455053333577163	0.2890086731898953
LAP TGF-beta-1	Gender	4.439872607656033	4.439872607656033	1	571.1700476500778	8.20574473685174	0.004329358717355581	0.01569221041287164
LAP TGF-beta-1	Day:srf14	2.4697040865713253	1.2348520432856627	2	1060.338405589231	2.2822458098254876	0.1025558641145532	0.20821948168712315
uPA	Day	59.20142797171457	29.600713985857286	2	1061.8293735480997	61.690107388367935	4.5072253133253585e-26	1.2582670666366624e-25
uPA	srf14	5.742010045919592	5.742010045919592	1	587.1144537827792	11.966779467789523	5.808436600847367e-4	0.0012972175075225787
uPA	DEXcorrected	6.464759645141512	6.464759645141512	1	573.6394328379722	13.473043823852109	2.6460361507814936e-4	9.849134561242226e-4
uPA	cbmi	4.519042888203046	4.519042888203046	1	571.044366661441	9.418024213844394	0.0022505875462699924	0.021541337942869925
uPA	Age	3.450262367198939	3.450262367198939	1	573.0831898829415	7.190605471619428	0.007539817457395617	0.01530811423168201
uPA	Gender	1.0977216961218632	1.0977216961218632	1	576.164085392366	2.2877343211604257	0.13094844573866568	0.20889394915453813
uPA	Day:srf14	0.1842179628129047	0.09210898140645235	2	1061.8327079428668	0.1919620235211926	0.8253668471380573	0.8919286896491909
IL6	Day	75.32828117752673	37.66414058876337	2	1056.2296477888299	96.90191676286081	2.2981643196633337e-39	1.1844385339803335e-38
IL6	srf14	42.381226279202856	42.381226279202856	1	582.9328390054774	109.03798671674733	1.625650900348779e-23	1.089186103233682e-21
IL6	DEXcorrected	0.5654979439695867	0.5654979439695867	1	569.7510091699744	1.454907342621222	0.22824278329063977	0.2940820477014013
IL6	cbmi	8.834661075828326e-5	8.834661075828326e-5	1	567.2402927555721	2.2729725909461168e-4	0.9879765452537981	0.9879765452537981
IL6	Age	9.282723374446627	9.282723374446627	1	569.259884945141	23.882496021471635	1.3332511191630632e-6	6.871371152609634e-6
IL6	Gender	2.3489926811701825	2.3489926811701825	1	572.2756763917016	6.043464412280535	0.014253021605710067	0.03819809790330298
